24개 암종별,성별,연령별,2004,2004,2005,2005,2006,2006,2007,2007,2008,2008,2009,2009,2010,2010,2011,2011,2012,2012,2013,2013,2014,2014,2015,2015,2016,2016,2017,2017,2018,2018,2019,2019,2020,2020,2021,2021,2022,2022,2023,2023
24개 암종별,성별,연령별,발생자수 (명),조발생률 (명/10만명),발생자수 (명),조발생률 (명/10만명),발생자수 (명),조발생률 (명/10만명),발생자수 (명),조발생률 (명/10만명),발생자수 (명),조발생률 (명/10만명),발생자수 (명),조발생률 (명/10만명),발생자수 (명),조발생률 (명/10만명),발생자수 (명),조발생률 (명/10만명),발생자수 (명),조발생률 (명/10만명),발생자수 (명),조발생률 (명/10만명),발생자수 (명),조발생률 (명/10만명),발생자수 (명),조발생률 (명/10만명),발생자수 (명),조발생률 (명/10만명),발생자수 (명),조발생률 (명/10만명),발생자수 (명),조발생률 (명/10만명),발생자수 (명),조발생률 (명/10만명),발생자수 (명),조발생률 (명/10만명),발생자수 (명),조발생률 (명/10만명),발생자수 (명),조발생률 (명/10만명),발생자수 (명),조발생률 (명/10만명)
갑상선(C73),계,70-74세,256,23.6,328,28.2,409,32.7,521,39.2,731,52.1,935,63.2,971,63.2,1154,72.5,1309,77.4,1335,75.3,945,52.9,772,43.4,735,41.6,757,42.9,901,49.7,946,49.7,890,44.5,1077,51.9,966,45,1062,47.6
갑상선(C73),계,75-79세,127,18.6,183,25.2,185,24,220,26.9,272,31.4,358,38.7,404,40.4,506,46.8,580,50.3,548,44.8,411,31.7,351,25.9,442,31.4,423,28.1,496,31.3,563,35.1,486,30.3,505,31.6,532,33.2,545,33
갑상선(C73),계,80-84세,51,12.8,56,13.5,61,14.1,91,20.1,113,23.7,119,23.3,148,26.7,150,25.3,194,30.6,165,24.3,150,20.6,146,18.4,184,21.3,179,19.3,200,20.2,245,23.2,207,18.6,266,22.9,258,20.7,270,20.5
갑상선(C73),계,85세이상,26,11.4,39,16.1,33,12.8,38,13.5,56,18.1,47,14.1,45,12.7,58,15.4,67,16.6,68,15.5,62,13,66,12.7,64,11.5,74,12.3,104,15.9,89,12.5,86,11,102,11.9,101,10.9,115,11.7
갑상선(C73),계,연령미상,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-
갑상선(C73),남자,계,1426,5.9,1785,7.3,2343,9.6,3194,13,4339,17.5,5244,21.1,6353,25.4,7107,28.3,8184,32.5,8554,33.8,6280,24.7,5480,21.5,5675,22.2,6163,24.1,6828,26.7,7633,29.8,7581,29.6,8858,34.6,8663,33.9,9326,36.6
갑상선(C73),남자,0-4세,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-
갑상선(C73),남자,5-9세,2,0.1,0,-,2,0.1,2,0.1,2,0.1,2,0.1,1,0.1,0,-,5,0.4,4,0.3,1,0.1,2,0.2,2,0.2,4,0.3,0,-,2,0.2,2,0.2,0,-,0,-,1,0.1
갑상선(C73),남자,10-14세,0,-,5,0.3,1,0.1,5,0.3,4,0.2,9,0.5,5,0.3,4,0.2,7,0.4,10,0.7,7,0.5,7,0.5,9,0.7,6,0.5,7,0.6,4,0.3,7,0.6,7,0.6,11,0.9,9,0.7
갑상선(C73),남자,15-19세,12,0.7,10,0.6,15,0.9,15,0.9,27,1.5,22,1.2,30,1.6,26,1.4,22,1.2,35,1.9,30,1.7,22,1.3,28,1.7,48,3,30,2,33,2.3,35,2.6,39,3.1,46,3.8,43,3.6
갑상선(C73),남자,20-24세,31,1.5,38,1.9,56,3,48,2.7,54,3.2,47,2.9,67,4.1,84,5.1,102,6,111,6.3,83,4.6,69,3.7,99,5.3,97,5.2,112,6.2,131,7.4,98,5.7,139,8.4,150,9.5,162,10.9
갑상선(C73),남자,25-29세,83,4.2,87,4.4,89,4.4,143,7,188,9.1,202,9.9,253,13,265,14.3,327,18.7,342,20.5,246,15.1,247,15.1,298,18,288,16.9,342,19.4,402,22.2,440,23.7,527,28.3,557,30.2,548,30.4
갑상선(C73),남자,30-34세,129,5.6,137,6,204,9.3,269,12.8,358,17.6,447,22.5,500,25.2,583,28.9,703,34.3,827,40.1,631,31.1,524,27,560,30.4,599,34.4,685,41.2,679,41.7,762,46.9,871,52.9,886,52.2,1040,59.3
갑상선(C73),남자,35-39세,169,7.6,207,9.2,301,13.1,412,17.7,560,24,712,30.8,839,37.1,989,45.4,1060,50.6,1120,55.4,736,37.3,682,34.5,712,35.5,844,41.4,1007,49,1109,54.9,1052,54.4,1138,62,1009,58.2,1105,66.8
갑상선(C73),남자,40-44세,225,10,287,12.9,316,14.5,481,22.5,593,27.5,768,34.9,972,43.4,1087,47.7,1297,56,1322,57,961,41.9,882,39.3,855,39.5,976,46.9,910,45.3,1105,56.4,1115,56.8,1313,65.8,1316,64.9,1348,66
갑상선(C73),남자,45-49세,206,10.7,274,13.6,366,17.3,537,24.5,748,33.6,853,38.4,961,43.8,1011,46.9,1093,51.5,1171,54.9,818,37.5,775,35,788,34.9,806,35.1,877,38.1,954,42,973,43.7,1119,52.2,1056,51.1,1100,55.2
갑상선(C73),남자,50-54세,163,12.3,205,14.4,323,20.9,400,24.1,603,34.1,764,40.5,986,49.6,1115,53.5,1231,57,1307,59.7,884,40.5,697,32.3,648,30.5,675,32.3,752,35.8,888,41.4,895,41,1032,46.3,1014,44.7,1138,50.2
갑상선(C73),남자,55-59세,129,12.1,188,16.8,234,20.3,285,23.9,410,33.2,490,38.1,633,45.8,785,52.1,906,56.1,912,53,797,43.4,644,33.2,695,34.2,716,33.9,821,38.4,853,39.9,832,39.3,912,43.8,868,42.4,888,43.1
갑상선(C73),남자,60-64세,110,11.6,121,12.8,170,18.1,241,25.7,334,34.6,395,38.9,470,43.9,485,43.8,594,51.8,557,46.9,437,35.3,389,29.2,409,28.1,478,30.6,568,34.1,666,37.5,606,32.3,809,40.9,785,38.3,872,42
갑상선(C73),남자,65-69세,78,10.9,110,14.7,131,16.8,196,23.6,254,29.1,284,32.3,348,39.7,366,41.8,419,47.6,422,46.5,315,32.9,260,25.7,278,26.5,291,26.8,308,27.3,364,30.9,367,28.9,503,36.2,484,32.4,546,34.2
갑상선(C73),남자,70-74세,49,11.6,68,14.7,78,15.4,97,17.7,127,21.7,155,24.7,185,28.1,188,27.4,249,33.7,253,32.5,187,23.7,165,20.8,155,19.5,170,21.2,235,28.1,231,26.1,193,20.7,251,25.9,252,25,281,26.9
갑상선(C73),남자,75-79세,19,8.1,38,15.2,34,12.8,44,15.5,52,16.9,58,17.3,70,18.9,89,21.7,114,25.6,115,24,97,18.8,67,12.3,83,14.4,104,16.7,113,17,138,20.4,116,17,119,17.3,143,20.4,151,20.7
갑상선(C73),남자,80-84세,14,11.1,6,4.6,18,13.2,9,6.4,20,13.5,28,17.7,23,13.5,25,13.7,40,20.1,35,16.1,42,17.5,34,12.7,48,16.1,45,13.7,34,9.5,56,14.5,61,14.8,60,13.7,67,14,66,12.9
갑상선(C73),남자,85세이상,7,12.5,4,6.6,5,7.6,10,13.9,5,6.3,8,9.3,10,11,5,5.2,15,14.7,11,10,8,6.6,14,10.7,8,5.7,16,10.4,27,15.8,18,9.5,27,12.6,19,7.9,19,7.2,28,9.8
갑상선(C73),남자,연령미상,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-
갑상선(C73),여자,계,9032,37.4,11042,45.5,13843,56.8,18115,73.9,23013,93.4,27281,110.1,30432,122.2,34200,136.6,36515,145.1,34488,136.4,24999,98.5,20063,78.7,20983,82,20655,80.5,22214,86.4,23484,91.3,22105,85.9,26783,104,25558,99.4,26114,101.7
갑상선(C73),여자,0-4세,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,2,0.2,0,-,2,0.2,0,-,1,0.1,0,-,0,-,0,-,0,-
갑상선(C73),여자,5-9세,0,-,2,0.1,1,0.1,0,-,3,0.2,1,0.1,6,0.5,3,0.3,2,0.2,2,0.2,1,0.1,3,0.3,1,0.1,5,0.4,0,-,2,0.2,0,-,3,0.3,2,0.2,3,0.3
갑상선(C73),여자,10-14세,13,0.8,12,0.7,13,0.8,19,1.1,26,1.6,14,0.9,23,1.5,30,2,32,2.2,25,1.8,21,1.6,25,2,13,1.1,24,2.1,18,1.6,19,1.7,28,2.5,27,2.4,24,2.1,23,2
갑상선(C73),여자,15-19세,79,5.2,73,4.9,67,4.5,86,5.6,93,5.9,108,6.7,123,7.5,136,8.2,126,7.6,152,9.3,147,9.2,122,7.8,139,9.1,123,8.5,111,8.1,130,10,134,10.9,132,11.5,125,11.1,109,9.7
