"행정구역별(1)",2007,2007,2007,2008,2008,2008,2009,2009,2009,2010,2010,2010,2011,2011,2011,2012,2012,2012,2013,2013,2013,2014,2014,2014,2015,2015,2015,2016,2016,2016,2017,2017,2017,2018,2018,2018,2019,2019,2019,2020,2020,2020,2021,2021,2021,2022,2022,2022,2023,2023,2023,2024,2024,2024,2025,2025,2025
"행정구역별(1)",고령인구비율<br>(A÷B×100) (%),65세이상인구<br>(A) (명),전체인구<br>(B) (명),고령인구비율<br>(A÷B×100) (%),65세이상인구<br>(A) (명),전체인구<br>(B) (명),고령인구비율<br>(A÷B×100) (%),65세이상인구<br>(A) (명),전체인구<br>(B) (명),고령인구비율<br>(A÷B×100) (%),65세이상인구<br>(A) (명),전체인구<br>(B) (명),고령인구비율<br>(A÷B×100) (%),65세이상인구<br>(A) (명),전체인구<br>(B) (명),고령인구비율<br>(A÷B×100) (%),65세이상인구<br>(A) (명),전체인구<br>(B) (명),고령인구비율<br>(A÷B×100) (%),65세이상인구<br>(A) (명),전체인구<br>(B) (명),고령인구비율<br>(A÷B×100) (%),65세이상인구<br>(A) (명),전체인구<br>(B) (명),고령인구비율<br>(A÷B×100) (%),65세이상인구<br>(A) (명),전체인구<br>(B) (명),고령인구비율<br>(A÷B×100) (%),65세이상인구<br>(A) (명),전체인구<br>(B) (명),고령인구비율<br>(A÷B×100) (%),65세이상인구<br>(A) (명),전체인구<br>(B) (명),고령인구비율<br>(A÷B×100) (%),65세이상인구<br>(A) (명),전체인구<br>(B) (명),고령인구비율<br>(A÷B×100) (%),65세이상인구<br>(A) (명),전체인구<br>(B) (명),고령인구비율<br>(A÷B×100) (%),65세이상인구<br>(A) (명),전체인구<br>(B) (명),고령인구비율<br>(A÷B×100) (%),65세이상인구<br>(A) (명),전체인구<br>(B) (명),고령인구비율<br>(A÷B×100) (%),65세이상인구<br>(A) (명),전체인구<br>(B) (명),고령인구비율<br>(A÷B×100) (%),65세이상인구<br>(A) (명),전체인구<br>(B) (명),고령인구비율<br>(A÷B×100) (%),65세이상인구<br>(A) (명),전체인구<br>(B) (명),고령인구비율<br>(A÷B×100) (%),65세이상인구<br>(A) (명),전체인구<br>(B) (명)
"세종특별자치시",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,15.2,17214,113117,14.7,17958,122153,12.7,19777,156125,10.6,22399,210884,10.0,24197,243048,9.6,26851,280100,9.3,29178,314126,9.4,31949,340575,9.8,34881,355831,10.1,37463,371895,10.5,40219,383591,11.0,42560,386525,11.6,45301,390685,12.3,48115,391965
"경기도",7.8,871191,11106211,8.1,919632,11292264,8.4,965172,11460610,8.7,1022456,11786622,9.0,1072462,11937415,9.4,1135242,12093299,9.8,1195523,12234630,10.2,1254445,12357830,10.5,1318882,12522606,10.8,1374475,12716780,11.4,1467835,12873895,11.9,1551801,13077153,12.5,1651341,13239666,13.2,1775315,13427014,13.9,1881464,13565450,14.7,1992807,13589432,15.6,2122718,13630821,16.6,2269603,13694685,17.7,2434194,13730135
"강원특별자치도",13.4,202198,1503806,13.9,209922,1508575,14.4,217230,1512870,14.8,226505,1529818,15.2,233219,1536448,15.7,241694,1538630,16.2,249539,1542263,16.6,255930,1544442,16.9,261671,1549507,17.2,266152,1550806,18.1,279976,1550142,18.8,289386,1543052,19.6,302886,1541502,20.7,319691,1542840,21.7,333176,1538492,22.8,349874,1536498,24.0,366555,1527807,25.4,384970,1517766,26.8,404489,1508500
"충청북도",12.4,186223,1506608,12.7,192542,1519587,13.0,198115,1527478,13.2,204470,1549528,13.4,209473,1562903,13.7,215245,1565628,14.1,222188,1572732,14.5,228900,1578933,14.8,234813,1583952,15.1,240690,1591625,15.8,252434,1594432,16.4,261763,1599252,17.1,273425,1600007,18.0,288148,1600837,18.9,301516,1597427,19.9,316939,1595058,20.8,332237,1593469,21.9,349187,1591177,23.1,368000,1596502
"충청남도",14.3,285562,1995531,14.5,293688,2018537,14.8,301248,2037582,14.9,308556,2075514,15.0,315079,2101284,15.3,309840,2028777,15.6,320195,2047631,16.0,330807,2062273,16.4,341214,2077649,16.7,350108,2096727,17.1,362946,2116770,17.5,372515,2126282,18.2,386674,2123709,19.1,405188,2121029,19.8,419979,2119257,20.6,436895,2123037,21.3,454534,2130119,22.3,475648,2136574,23.4,500694,2136753
"전북특별자치도",14.3,266672,1862277,14.7,272231,1855772,15.0,277682,1854508,15.2,284373,1868963,15.6,291919,1874031,16.2,303586,1873341,16.7,312764,1872965,17.2,322626,1871560,17.8,333524,1869711,18.3,341203,1864791,18.9,351282,1854607,19.5,358410,1836832,20.4,370676,1818917,21.4,386203,1804104,22.3,397619,1786855,23.2,410619,1769607,24.1,423128,1754757,25.3,439263,1738690,26.6,458975,1724856
"전라남도",17.2,332516,1929836,17.6,338407,1919000,18.0,343861,1913004,18.3,350900,1918485,18.6,356349,1914339,19.2,366524,1909618,19.6,374565,1907172,20.1,383808,1905780,20.5,391837,1908996,21.0,398916,1903914,21.5,408451,1896424,21.9,413132,1882970,22.6,422548,1868745,23.5,435880,1851549,24.3,445198,1832803,25.2,457481,1817697,26.1,470874,1804217,27.2,486492,1788819,28.5,506276,1779135
"경상북도",14.6,390588,2681364,15.1,402469,2673931,15.4,412228,2669876,15.6,418858,2689920,15.7,424386,2699195,16.2,437519,2698353,16.8,452417,2699440,17.3,467352,2700794,17.7,479634,2702826,18.2,492417,2700398,19.0,512681,2691706,19.8,529349,2676831,20.6,549415,2665836,21.7,573715,2639422,22.7,596312,2626609,23.8,618275,2600492,24.7,630486,2554324,26.0,659227,2531384,27.5,688172,2506526
"경상남도",11.1,354611,3196953,11.4,366471,3225255,11.6,377987,3250176,11.8,388648,3290536,12.1,399530,3308765,12.5,414831,3319314,12.9,431645,3333820,13.4,449017,3350257,13.8,464019,3364702,14.2,480278,3373871,14.9,504460,3380404,15.5,523165,3373988,16.3,548257,3362553,17.4,580258,3340216,18.4,608379,3314183,19.5,638801,3280493,20.6,669646,3251158,21.8,704330,3228380,23.2,745437,3207383
"제주특별자치도",11.0,61734,559258,11.5,64191,560618,11.9,66706,562663,12.2,69641,571255,12.6,72580,576156,13.0,75925,583713,13.4,79305,593806,13.6,82411,607346,13.8,85893,624395,13.9,89189,641597,14.2,93117,657083,14.4,96207,667191,15.0,100397,670989,15.7,106154,674635,16.3,110645,676759,17.1,115768,678159,17.9,121156,675252,18.9,126985,670368,20.1,133551,664792
